#,Dataset title,"Domain Name / link (if highlighted in red, it's a duplicate! So don't add it...)","License (default is UNKNOWN)",Release (Issue date) ,Glottocode,Language(s) (or family),Dialect/accent (if known),Subject,Format,Collection Style (Manual Curation vs Crowdsourced(web)) ?,What it is / why we want it (5-25 words),Volume (estimates),"Contains Personal Information? (-1=unlikely, 0=neutral, 1=likely)",Owner,Usage and relation to other datasets ,Comments
41,observatorio de la política china,https://politica-china.org,unknown,multiple releases,,es,spain,general news,text (web),manual,,unknown,unknown,"1, According to the “Provisions of the Supreme People's Court on the People's Court's Publication of Judgment Documents online” (最高人民法院关于人民法院在互联网公布裁判文书的规定), the online publication of judgment documents should be based on the principle of openness, with non-publicity as an exception. Judicial documents involving national security, juvenile delinquency, divorce proceedings, support or guardianship of minor children, etc., shall not be made public. In 
public judgment documents, information concerning personal privacy, 
trade secrets, etc., other than the names of the parties, shall also be 
deleted from the document.",,
42,icefi - instituto centroamericano de estudios fiscales,http://icefi.org/,unknown,multiple releases,,es,gt,general news,text (web),manual,,unknown,unknown,icefi - instituto centroamericano de estudios fiscales,,
43,baja california sur - gobierno del estado,http://www.bcs.gob.mx/,unknown,multiple releases,,es,mexico,general news,text (web),manual,,unknown,unknown,baja california sur - gobierno del estado,,
44,ladiaria,https://ladiaria.com.uy/,unknown,multiple releases,,es,uruguay,general news,text (web),manual,,unknown,unknown,ladiaria,,
45,cepal,http://www.lacuarta.com/,unknown,multiple releases,,es,cl,general news,text (web),manual,,unknown,unknown,cepal,,
46,uno santafe,https://www.unosantafe.com.ar/,unknown,multiple releases,,es,argentina,general news,text (web),manual,,unknown,unknown,uno santafe,,
47,banco central del ecuador,http://www.bce.fin.ec/,unknown,multiple releases,,es,ecuador,general news,text (web),manual,,unknown,unknown,banco central del ecuador,,
48,banco central de bolivia,http://www.bcb.gob.bo/,unknown,multiple releases,,es,bolivia,general news,text (web),manual,,unknown,unknown,banco central de bolivia,,
49,"diario de toluca, estado de méxico",http://diarioportal.com,unknown,multiple releases,,es,mexico,general news,text (web),manual,,unknown,unknown,"diario de toluca, estado de méxico",,
50,gva-es,https://www.gva.es/va/inicio/presentacion,unknown,multiple releases,,es,spain,general news,text (web),manual,,unknown,unknown,gva-es,,
51,noroeste,https://www.noroeste.com.mx/,unknown,multiple releases,,es,mexico,general news,text (web),manual,,unknown,unknown,noroeste,,
52,el mundo de cordoba,http://www.elmundodecordoba.com/,unknown,multiple releases,,es,argentina,general news,text (web),manual,,unknown,unknown,el mundo de cordoba,,
53,diario expreso de guayaquil,https://www.expreso.ec/,unknown,multiple releases,,es,ecuador,general news,text (web),manual,,unknown,unknown,diario expreso de guayaquil,,
54,sonora,http://www.sonora.com.gt/,unknown,multiple releases,,es,gt,general news,text (web),manual,,unknown,unknown,sonora,,
55,libertad digital,http://www.libertaddigital.es,unknown,multiple releases,,es,spain,general news,text (web),manual,,unknown,unknown,libertad digital,,
56,el universo,https://www.eluniverso.com/,unknown,multiple releases,,es,ecuador,general news,text (web),manual,,unknown,unknown,el universo,,
57,prensa presidencial,http://www.minci.gob.ve,unknown,multiple releases,,es,venezuela,general news,text (web),manual,,unknown,unknown,prensa presidencial,,
58,levante-emv,https://www.levante-emv.com/,unknown,multiple releases,,es,spain,general news,text (web),manual,,unknown,unknown,levante-emv,,
59,minam,http://www.minam.gob.pe/,unknown,multiple releases,,es,peru,general news,text (web),manual,,unknown,unknown,minam,,
60,economia3,https://economia3.com/,unknown,multiple releases,,es,spain,general news,text (web),manual,,unknown,unknown,economia3,,
61,la nacion - chile,http://lanacion.cl/,unknown,multiple releases,,es,cl,general news,text (web),manual,,unknown,unknown,la nacion - chile,,
62,la pagina,https://www.lapagina.com.sv/,unknown,multiple releases,,es,el salvador,general news,text (web),manual,,unknown,unknown,la pagina,,
63,la nacion (argentina),http://www.lanacion.com.ar/,unknown,multiple releases,,es,argentina,general news,text (web),manual,,unknown,unknown,la nacion (argentina),,
64,cosave,http://www.cosave.org/pagina/bienvenidos-al-comite-de-sanidad-vegetal-cosave,unknown,multiple releases,,es,cl,general news,text (web),manual,,unknown,unknown,cosave,,
65,el nuevo herald,https://www.elnuevoherald.com/,unknown,multiple releases,,es,usa,general news,text (web),manual,,unknown,unknown,el nuevo herald,,
66,diario el expreso,https://www.diarioelexpreso.com.ve/,unknown,multiple releases,,es,venezuela,general news,text (web),manual,,unknown,unknown,diario el expreso,,
67,elpais - costa rica,http://www.elpais.cr,unknown,multiple releases,,es,cr,general news,text (web),manual,,unknown,unknown,elpais - costa rica,,
68,"ciemat - centro de investigaciones energéticas, medioambientales y tecnológicas",http://www.ciemat.es/,unknown,multiple releases,,es,spain,general news,text (web),manual,,unknown,unknown,"ciemat - centro de investigaciones energéticas, medioambientales y tecnológicas",,
69,el orbe,https://elorbe.com/,unknown,multiple releases,,es,mexico,general news,text (web),manual,,unknown,unknown,el orbe,,
70,cuba encuentro,http://www.cubaencuentro.com/,unknown,multiple releases,,es,cuba,general news,text (web),manual,,unknown,unknown,cuba encuentro,,
71,radio televisión española,http://www.rtve.es/,unknown,multiple releases,,es,spain,general news,text (web),manual,,unknown,unknown,radio televisión española,,
72,elcano royal insitute (real istituto elcano),http://www.realinstitutoelcano.org/wps/portal/rielcano_es,unknown,multiple releases,,es,spain,general news,text (web),manual,,unknown,unknown,elcano royal insitute (real istituto elcano),,
73,notihua tul copuerto escondido,https://notihuatulcopuertoescondido.com/,unknown,multiple releases,,es,mexico,general news,text (web),manual,,unknown,unknown,notihua tul copuerto escondido,,
74,rpc tv,http://www.rpctv.com/,unknown,multiple releases,,es,panama,general news,text (web),manual,,unknown,unknown,rpc tv,,
75,ministerio de educación,https://educacion.gob.ec/,unknown,multiple releases,,es,ecuador,general news,text (web),manual,,unknown,unknown,ministerio de educación,,
76,repretel,https://www.repretel.com/,unknown,multiple releases,,es,cr,general news,text (web),manual,,unknown,unknown,repretel,,
77,elmon,https://elmon.cat/monplaneta/,unknown,multiple releases,,es,spain,general news,text (web),manual,,unknown,unknown,elmon,,
78,listín diario digital,http://www.listindiario.com/,unknown,multiple releases,,es,domenican republic,general news,text (web),manual,,unknown,unknown,listín diario digital,,
79,la opinión de murcia,http://www.laopiniondemurcia.es/,unknown,multiple releases,,es,spain,general news,text (web),manual,,unknown,unknown,la opinión de murcia,,
80,lawyerpress,http://lawyerpress.com/,unknown,multiple releases,,es,spain,general news,text (web),manual,,unknown,unknown,lawyerpress,,
81,diario el cordillerano,http://www.elcordillerano.com.ar/,unknown,multiple releases,,es,argentina,general news,text (web),manual,,unknown,unknown,diario el cordillerano,,
